artist_name,artist_genre,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
J. Cole,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",No Role Modelz,68Dni7IE4VyPkTOH9mRWHr,87,0.69,0.521,10,-8.492,0,0.339,0.324,0.0,0.0534,0.494,100.028,audio_features,68Dni7IE4VyPkTOH9mRWHr,spotify:track:68Dni7IE4VyPkTOH9mRWHr,https://api.spotify.com/v1/tracks/68Dni7IE4VyPkTOH9mRWHr,https://api.spotify.com/v1/audio-analysis/68Dni7IE4VyPkTOH9mRWHr,292799,4
Anthem Lights,"['ccm', 'christian alternative rock', 'christian music', 'viral pop']",K-Love Fan Awards: Songs of the Year (2014 Mash-Up),00ohIpPn9LkKpeIqhfIU9V,25,0.42,0.281,11,-8.204,1,0.0334,0.829,0.0,0.376,0.229,119.515,audio_features,00ohIpPn9LkKpeIqhfIU9V,spotify:track:00ohIpPn9LkKpeIqhfIU9V,https://api.spotify.com/v1/tracks/00ohIpPn9LkKpeIqhfIU9V,https://api.spotify.com/v1/audio-analysis/00ohIpPn9LkKpeIqhfIU9V,213165,4
The Walters,['chicago indie'],I Love You So,4SqWKzw0CbA05TGszDgMlc,88,0.575,0.648,10,-4.891,1,0.0358,0.583,0.0,0.115,0.466,75.977,audio_features,4SqWKzw0CbA05TGszDgMlc,spotify:track:4SqWKzw0CbA05TGszDgMlc,https://api.spotify.com/v1/tracks/4SqWKzw0CbA05TGszDgMlc,https://api.spotify.com/v1/audio-analysis/4SqWKzw0CbA05TGszDgMlc,160240,4
Steve Harley,"['classic uk pop', 'glam rock', 'pub rock']",Make Me Smile (Come up and See Me) - 2014 Remaster,2dpO3NteNWUDL2S9e0t0Mi,62,0.571,0.818,0,-8.277,1,0.0337,0.00706,0.000181,0.0877,0.773,141.464,audio_features,2dpO3NteNWUDL2S9e0t0Mi,spotify:track:2dpO3NteNWUDL2S9e0t0Mi,https://api.spotify.com/v1/tracks/2dpO3NteNWUDL2S9e0t0Mi,https://api.spotify.com/v1/audio-analysis/2dpO3NteNWUDL2S9e0t0Mi,239213,4
J. Cole,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",Wet Dreamz,4tqcoej1zPvwePZCzuAjJd,83,0.495,0.722,6,-8.108,0,0.357,0.0697,0.0,0.113,0.539,175.627,audio_features,4tqcoej1zPvwePZCzuAjJd,spotify:track:4tqcoej1zPvwePZCzuAjJd,https://api.spotify.com/v1/tracks/4tqcoej1zPvwePZCzuAjJd,https://api.spotify.com/v1/audio-analysis/4tqcoej1zPvwePZCzuAjJd,239267,4
Menimore,[],Year 2014,3dLtxF2jJ1eG5eDWUep2Oy,0,0.783,0.606,0,-8.192,1,0.0766,0.0501,0.887,0.111,0.344,134.928,audio_features,3dLtxF2jJ1eG5eDWUep2Oy,spotify:track:3dLtxF2jJ1eG5eDWUep2Oy,https://api.spotify.com/v1/tracks/3dLtxF2jJ1eG5eDWUep2Oy,https://api.spotify.com/v1/audio-analysis/3dLtxF2jJ1eG5eDWUep2Oy,220200,4
Mr.Kitty,['weirdcore'],After Dark,2LKOHdMsL0K9KwcPRlJK2v,85,0.585,0.595,8,-10.444,1,0.0328,0.0696,0.266,0.0837,0.039,140.037,audio_features,2LKOHdMsL0K9KwcPRlJK2v,spotify:track:2LKOHdMsL0K9KwcPRlJK2v,https://api.spotify.com/v1/tracks/2LKOHdMsL0K9KwcPRlJK2v,https://api.spotify.com/v1/audio-analysis/2LKOHdMsL0K9KwcPRlJK2v,259147,4
Monstercat,[],Best of 2014 Album Mix (Part 1),0chMAyeIxvV0OqsvgLcZtL,34,0.426,0.915,11,-3.881,0,0.143,0.000899,0.108,0.495,0.271,130.405,audio_features,0chMAyeIxvV0OqsvgLcZtL,spotify:track:0chMAyeIxvV0OqsvgLcZtL,https://api.spotify.com/v1/tracks/0chMAyeIxvV0OqsvgLcZtL,https://api.spotify.com/v1/audio-analysis/0chMAyeIxvV0OqsvgLcZtL,3374468,4
Vance Joy,"['folk-pop', 'pop', 'pop rock']",Riptide,3JvrhDOgAt6p7K8mDyZwRd,79,0.484,0.731,1,-6.694,1,0.0379,0.431,0.0,0.151,0.51,101.654,audio_features,3JvrhDOgAt6p7K8mDyZwRd,spotify:track:3JvrhDOgAt6p7K8mDyZwRd,https://api.spotify.com/v1/tracks/3JvrhDOgAt6p7K8mDyZwRd,https://api.spotify.com/v1/audio-analysis/3JvrhDOgAt6p7K8mDyZwRd,204280,4
The Kiboomers,"[""children's music""]",The Months of the Year - 2014 Version,58lQgf1Y5gRJRr6S0Nwp50,27,0.903,0.262,2,-12.528,1,0.081,0.843,0.0,0.109,0.681,95.098,audio_features,58lQgf1Y5gRJRr6S0Nwp50,spotify:track:58lQgf1Y5gRJRr6S0Nwp50,https://api.spotify.com/v1/tracks/58lQgf1Y5gRJRr6S0Nwp50,https://api.spotify.com/v1/audio-analysis/58lQgf1Y5gRJRr6S0Nwp50,89655,4
