artist_name,artist_genre,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Baby Keem,"['hip hop', 'rap']",HONEST,58k32my5lKofeZRtIvBDg9,82,0.676,0.536,2,-8.79,1,0.0432,0.403,3.37e-05,0.105,0.373,79.037,audio_features,58k32my5lKofeZRtIvBDg9,spotify:track:58k32my5lKofeZRtIvBDg9,https://api.spotify.com/v1/tracks/58k32my5lKofeZRtIvBDg9,https://api.spotify.com/v1/audio-analysis/58k32my5lKofeZRtIvBDg9,172672,4
Otmar Eros,[],"Year 2016:, Pt. 4",1sUxW2zAmXA7lXHC8Dxu4s,20,0.241,0.064,5,-24.272,1,0.0602,0.994,0.95,0.0715,0.0372,141.739,audio_features,1sUxW2zAmXA7lXHC8Dxu4s,spotify:track:1sUxW2zAmXA7lXHC8Dxu4s,https://api.spotify.com/v1/tracks/1sUxW2zAmXA7lXHC8Dxu4s,https://api.spotify.com/v1/audio-analysis/1sUxW2zAmXA7lXHC8Dxu4s,69840,4
Post Malone,"['dfw rap', 'melodic rap', 'rap']",Circles,21jGcNKet2qwijlDFuPiPb,86,0.695,0.762,0,-3.497,1,0.0395,0.192,0.00244,0.0863,0.553,120.042,audio_features,21jGcNKet2qwijlDFuPiPb,spotify:track:21jGcNKet2qwijlDFuPiPb,https://api.spotify.com/v1/tracks/21jGcNKet2qwijlDFuPiPb,https://api.spotify.com/v1/audio-analysis/21jGcNKet2qwijlDFuPiPb,215280,4
Calvin Harris,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'uk dance']",One Kiss,6Mcd2tlwSiqsnMC85DF4Ns,62,0.753,0.852,9,-4.028,0,0.138,0.0319,8.63e-06,0.328,0.586,124.023,audio_features,6Mcd2tlwSiqsnMC85DF4Ns,spotify:track:6Mcd2tlwSiqsnMC85DF4Ns,https://api.spotify.com/v1/tracks/6Mcd2tlwSiqsnMC85DF4Ns,https://api.spotify.com/v1/audio-analysis/6Mcd2tlwSiqsnMC85DF4Ns,209040,4
Harry Styles,['pop'],Watermelon Sugar,6UelLqGlWMcVH1E5c4H7lY,90,0.548,0.816,0,-4.209,1,0.0465,0.122,0.0,0.335,0.557,95.39,audio_features,6UelLqGlWMcVH1E5c4H7lY,spotify:track:6UelLqGlWMcVH1E5c4H7lY,https://api.spotify.com/v1/tracks/6UelLqGlWMcVH1E5c4H7lY,https://api.spotify.com/v1/audio-analysis/6UelLqGlWMcVH1E5c4H7lY,174000,4
Jonas Brothers,"['boy band', 'dance pop', 'pop', 'post-teen pop']",Year 3000,4zP7ADsgJgHGY6VzxbNp1z,66,0.659,0.857,11,-5.85,1,0.0437,0.0045,1.93e-06,0.335,0.798,106.965,audio_features,4zP7ADsgJgHGY6VzxbNp1z,spotify:track:4zP7ADsgJgHGY6VzxbNp1z,https://api.spotify.com/v1/tracks/4zP7ADsgJgHGY6VzxbNp1z,https://api.spotify.com/v1/audio-analysis/4zP7ADsgJgHGY6VzxbNp1z,201960,4
Yot Club,"['bedroom pop', 'indie pop']",YKWIM?,2vWBUC9djv6BtiGlmKiQaH,83,0.372,0.537,9,-7.623,1,0.0305,0.937,0.873,0.287,0.228,123.735,audio_features,2vWBUC9djv6BtiGlmKiQaH,spotify:track:2vWBUC9djv6BtiGlmKiQaH,https://api.spotify.com/v1/tracks/2vWBUC9djv6BtiGlmKiQaH,https://api.spotify.com/v1/audio-analysis/2vWBUC9djv6BtiGlmKiQaH,212750,3
Rod Wave,['florida rap'],2019,5uDCagy7HnW0b3qBHfaOAO,59,0.535,0.751,2,-4.91,1,0.182,0.19,0.0,0.108,0.213,77.248,audio_features,5uDCagy7HnW0b3qBHfaOAO,spotify:track:5uDCagy7HnW0b3qBHfaOAO,https://api.spotify.com/v1/tracks/5uDCagy7HnW0b3qBHfaOAO,https://api.spotify.com/v1/audio-analysis/5uDCagy7HnW0b3qBHfaOAO,205714,4
"Tyler, The Creator","['hip hop', 'rap']",NEW MAGIC WAND,0fv2KH6hac06J86hBUTcSf,83,0.621,0.73,5,-5.414,0,0.107,0.0967,0.000131,0.673,0.464,139.566,audio_features,0fv2KH6hac06J86hBUTcSf,spotify:track:0fv2KH6hac06J86hBUTcSf,https://api.spotify.com/v1/tracks/0fv2KH6hac06J86hBUTcSf,https://api.spotify.com/v1/audio-analysis/0fv2KH6hac06J86hBUTcSf,195320,4
Schoolgirl Byebye,"['chinese indie', 'sinogaze', 'southern china indie']","Year,2015",0UsmyJDsst2xhX1ZiFF3JW,23,0.314,0.0855,9,-15.775,1,0.0342,0.969,0.795,0.16,0.161,69.893,audio_features,0UsmyJDsst2xhX1ZiFF3JW,spotify:track:0UsmyJDsst2xhX1ZiFF3JW,https://api.spotify.com/v1/tracks/0UsmyJDsst2xhX1ZiFF3JW,https://api.spotify.com/v1/audio-analysis/0UsmyJDsst2xhX1ZiFF3JW,74302,3
